building_room,case_number,slot_number,equipment_type,asset_tag,clean_asset_tag,serial_number,mac_address,manufacturer,model,model_code,case_helper,slot_helper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,1,1-1,Laptop,DDC4CY-002645,DDC4CY002645,19MH014,10-98-19-4A-51-61,Dell,Precision 7680,2250,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,1,1-2,Laptop,DDC4CY-002663,DDC4CY002663,24MH014,10-98-19-4A-52-C1,Dell,Precision 7680,2250,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,1,1-3,Laptop,DDC4CY-002668,DDC4CY002668,4VLH014,10-98-19-4A-50-BD,Dell,Precision 7680,2250,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,1,1-4,Laptop,DDC4CY-002643,DDC4CY002643,C2MH014,10-98-19-4A-65-73,Dell,Precision 7680,2250,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,1,1-5,Laptop,DDC4CY-002582,DDC4CY002582,67NH014,10-98-19-4A-51-12,Dell,Precision 7680,2250,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,1,1-6,Laptop,DDC4CY-002508,DDC4CY002508,B5NH014,10-98-19-4A-51-25,Dell,Precision 7680,2250,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,1,1-7,Laptop,DDC4CY-002603,DDC4CY002603,BBLH014,10-98-19-4A-66-46,Dell,Precision 7680,2250,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,1,1-8,Laptop,DDC4CY-002570,DDC4CY002570,GFMH014,10-98-19-4A-51-46,Dell,Precision 7680,2250,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,1,1-9,Laptop,DDC4CY-002533,DDC4CY002533,33NH014,10-98-19-4A-51-39,Dell,Precision 7680,2250,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,1,1-10,Laptop,DDC4CY-002604,DDC4CY002604,40MH014,10-98-19-4A-66-42,Dell,Precision 7680,2250,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,1,1-11,Laptop,DDC4CY-002685,DDC4CY002685,CZMH014,10-98-19-4A-51-FA,Dell,Precision 7680,2250,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,1,1-12,Laptop,DDC4CY-002651,DDC4CY002651,6GMH014,10-98-19-4A-65-2F,Dell,Precision 7680,2250,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,1,1-13,Laptop,DDC4CY-002607,DDC4CY002607,CVLH014,10-98-19-4A-50-F1,Dell,Precision 7680,2250,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
